source,stop_id,name,street,cross_street,municipality,status,lon,lat
GRT,13137,Shirley Dr at Cedarview Pl,Shirley Dr,Cedarview Pl,Kitchener,Active,-80.43377217,43.47684939
GRT,11572,Ring Rd at University of Waterloo - B.C. Matthews Hall,Ring Rd,University of Waterloo - B.C. Matthews Hall,Waterloo,Active,-80.54622695,43.47393197
GRT,12209,Keats Way at Midwood Cres,Keats Way,Midwood Cres,Waterloo,Active,-80.55446003,43.45787299
GRT,11640,Greenfield Ave at Traynor Ave,Greenfield Ave,Traynor Ave,Kitchener,Active,-80.44519498,43.42562195
GRT,13863,Fischer-Hallman Rd at Williamsburg Cemetery,Fischer-Hallman Rd,Williamsburg Cemetery,Kitchener,Active,-80.49125681,43.38981724
GRT,12864,Farmers Market Rd at Benjamin Rd,Farmers Market Rd,Benjamin Rd,Woolwich,Active,-80.55580002,43.509883
GRT,13353,Fisher Mills Rd at Scott Rd,Fisher Mills Rd,Scott Rd,Cambridge,Active,-80.32088,43.43535
GRT,13843,Lennox Lewis Way at Hayward Ave,Lennox Lewis Way,Hayward Ave,Kitchener,Active,-80.47093847,43.42463798
GRT,10061,Ottawa St N at Lackner Blvd,Ottawa St N,Lackner Blvd,Kitchener,Active,-80.43204695,43.45641702
GRT,13279,Bishop St N at Cowansview Rd,Bishop St N,Cowansview Rd,Cambridge,Active,43.397357,-80.309168
GRT,12285,Victoria St S at Strange St,Victoria St S,Strange St,Kitchener,Active,-80.50653701,43.44488301
GRT,13495,Fairway Rd N at Pebblecreek Dr,Fairway Rd N,Pebblecreek Dr,Kitchener,Active,-80.409042,43.446705
GRT,10013,River Rd E at Manchester Rd,River Rd E,Manchester Rd,Kitchener,Active,-80.45416802,43.45846696
GRT,10651,King St E at Concession St,King St E,Concession St,Cambridge,Active,-80.34251302,43.38791196
GRT,11897,Margaret Ave at Victoria St N,Margaret Ave,Victoria St N,Kitchener,Active,-80.48882701,43.45596195
GRT,10663,Preston Pky at Hillview Rd,Preston Pky,Hillview Rd,Cambridge,Active,-80.37765001,43.39467003
GRT,10667,Gateway Park Dr at 170 Gateway Park Dr,Gateway Park Dr,170 Gateway Park Dr,Kitchener,Active,-80.38608997,43.40582998
